userName;score;at;content;CaseFolding;Cleaning;Tokenizing;Formalisasi;WithoutStopwords;Stemming;Label
Pengguna Google;1;2026-01-14 03:04:01;"Jkn ini aapa. Ya? Apk seringg rusak. Gkjls keluar sendiri llalu. Lalu dimasukkan ggk bisa lgi. Gk jlsss;";"jkn ini aapa. ya? apk seringg rusak. gkjls keluar sendiri llalu. lalu dimasukkan ggk bisa lgi. gk jlsss;";Jkn ini aapa Ya Apk seringg rusak Gkjls keluar sendiri llalu Lalu dimasukkan ggk bisa lgi Gk jls;['Jkn', 'ini', 'aapa', 'Ya', 'Apk', 'seringg', 'rusak', 'Gkjls', 'keluar', 'sendiri', 'llalu', 'Lalu', 'dimasukkan', 'ggk', 'bisa', 'lgi', 'Gk', 'jls'];['Jkn', 'ini', 'aapa', 'Ya', 'Apk', 'seringg', 'rusak', 'Gkjls', 'keluar', 'sendiri', 'llalu', 'Lalu', 'dimasukkan', 'ggk', 'bisa', 'lgi', 'Gk', 'jls'];['Jkn', 'aapa', 'Ya', 'Apk', 'seringg', 'rusak', 'Gkjls', 'llalu', 'Lalu', 'dimasukkan', 'ggk', 'lgi', 'Gk', 'jls'];['jkn', 'aapa', 'ya', 'apk', 'seringg', 'rusak', 'gkjls', 'llalu', 'lalu', 'masuk', 'ggk', 'lgi', 'gk', 'jls'];Netral
Pengguna Google;5;2026-01-08 00:17:22;"proses cepat dan mudah;";"proses cepat dan mudah;";proses cepat dan mudah;['proses', 'cepat', 'dan', 'mudah'];['proses', 'cepat', 'dan', 'mudah'];['proses', 'cepat', 'mudah'];['proses', 'cepat', 'mudah'];Positif
Pengguna Google;5;2026-01-08 13:41:05;"mantap mempermudah;";"mantap mempermudah;";mantap mempermudah;['mantap', 'mempermudah'];['mantap', 'mempermudah'];['mantap', 'mempermudah'];['mantap', 'mudah'];Positif
Pengguna Google;5;2026-01-20 09:12:15;"ini kenapa malah keluar sendiri;";"ini kenapa malah keluar sendiri;";ini kenapa malah keluar sendiri;['ini', 'kenapa', 'malah', 'keluar', 'sendiri'];['ini', 'kenapa', 'malah', 'keluar', 'sendiri'];[];[];Netral
Pengguna Google;5;2025-12-30 23:20:12;"mudah dan simple;";"mudah dan simple;";mudah dan simple;['mudah', 'dan', 'simple'];['mudah', 'dan', 'simple'];['mudah', 'simple'];['mudah', 'simple'];Positif
Pengguna Google;5;2026-01-05 18:52:08;"bagusss;";"bagusss;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;1;2026-01-01 06:18:07;"login berkali kali setiap isi no hp otp gk muncul2 capek deh🙈;";"login berkali kali setiap isi no hp otp gk muncul2 capek deh🙈;";login berkali kali setiap isi no hp otp gk muncul capek deh;['login', 'berkali', 'kali', 'setiap', 'isi', 'no', 'hp', 'otp', 'gk', 'muncul', 'capek', 'deh'];['login', 'berkali', 'kali', 'setiap', 'isi', 'no', 'hp', 'otp', 'gk', 'muncul', 'capek', 'deh'];['login', 'berkali', 'kali', 'isi', 'no', 'hp', 'otp', 'gk', 'muncul', 'capek', 'deh'];['login', 'kali', 'kali', 'isi', 'no', 'hp', 'otp', 'gk', 'muncul', 'capek', 'deh'];Netral
Pengguna Google;3;2026-01-06 05:53:06;"diperbaiki lg pelayanan;";"diperbaiki lg pelayanan;";diperbaiki lg pelayanan;['diperbaiki', 'lg', 'pelayanan'];['diperbaiki', 'lagi', 'pelayanan'];['diperbaiki', 'lg', 'pelayanan'];['baik', 'lg', 'layan'];Positif
Pengguna Google;1;2026-01-16 21:01:10;"tolong di perbaiki lg donk..kenapa sekarang tidak bisa di screen sort..itu kan penting..dan anak ku yg 1 knp tidak masuk dalam 1 mobil jkn..jadi harus downlod pake hp yg lain;";"tolong di perbaiki lg donk..kenapa sekarang tidak bisa di screen sort..itu kan penting..dan anak ku yg 1 knp tidak masuk dalam 1 mobil jkn..jadi harus downlod pake hp yg lain;";tolong di perbaiki lg donk kenapa sekarang tidak bisa di screen sort itu kan penting dan anak ku yg knp tidak masuk dalam mobil jkn jadi harus downlod pake hp yg lain;['tolong', 'di', 'perbaiki', 'lg', 'donk', 'kenapa', 'sekarang', 'tidak', 'bisa', 'di', 'screen', 'sort', 'itu', 'kan', 'penting', 'dan', 'anak', 'ku', 'yg', 'knp', 'tidak', 'masuk', 'dalam', 'mobil', 'jkn', 'jadi', 'harus', 'downlod', 'pake', 'hp', 'yg', 'lain'];['tolong', 'di', 'perbaiki', 'lagi', 'donk', 'kenapa', 'sekarang', 'tidak', 'bisa', 'di', 'screen', 'sort', 'itu', 'kan', 'penting', 'dan', 'anak', 'ku', 'yang', 'kenapa', 'tidak', 'masuk', 'dalam', 'mobil', 'jkn', 'jadi', 'harus', 'downlod', 'pake', 'hp', 'yang', 'lain'];['tolong', 'perbaiki', 'lg', 'donk', 'screen', 'sort', 'anak', 'ku', 'knp', 'masuk', 'mobil', 'jkn', 'downlod', 'pake', 'hp'];['tolong', 'baik', 'lg', 'donk', 'screen', 'sort', 'anak', 'ku', 'knp', 'masuk', 'mobil', 'jkn', 'downlod', 'pake', 'hp'];Netral
Pengguna Google;4;2026-01-17 02:11:34;"bsgus;";"bsgus;";bsgus;['bsgus'];['bsgus'];['bsgus'];['bsgus'];Netral
Pengguna Google;1;2026-01-12 01:42:40;"payah... nggak bisa di akses;";"payah... nggak bisa di akses;";payah nggak bisa di akses;['payah', 'nggak', 'bisa', 'di', 'akses'];['payah', 'nggak', 'bisa', 'di', 'akses'];['payah', 'nggak', 'akses'];['payah', 'nggak', 'akses'];Netral
Pengguna Google;5;2025-12-31 06:05:59;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;5;2026-01-09 02:50:41;"cepat tanggap;";"cepat tanggap;";cepat tanggap;['cepat', 'tanggap'];['cepat', 'tanggap'];['cepat', 'tanggap'];['cepat', 'tanggap'];Positif
Pengguna Google;5;2026-01-14 08:21:56;"ketika masuk daftar online selalu eror tolong perbaiki untuk daftar antrian online 😢🙏🏻;";"ketika masuk daftar online selalu eror tolong perbaiki untuk daftar antrian online 😢🙏🏻;";ketika masuk daftar online selalu eror tolong perbaiki untuk daftar antrian online ;['ketika', 'masuk', 'daftar', 'online', 'selalu', 'eror', 'tolong', 'perbaiki', 'untuk', 'daftar', 'antrian', 'online'];['ketika', 'masuk', 'daftar', 'online', 'selalu', 'eror', 'tolong', 'perbaiki', 'untuk', 'daftar', 'antrian', 'online'];['masuk', 'daftar', 'online', 'eror', 'tolong', 'perbaiki', 'daftar', 'antrian', 'online'];['masuk', 'daftar', 'online', 'eror', 'tolong', 'baik', 'daftar', 'antri', 'online'];Positif
Pengguna Google;5;2026-01-11 22:32:52;"sangat mudah;";"sangat mudah;";sangat mudah;['sangat', 'mudah'];['sangat', 'mudah'];['mudah'];['mudah'];Positif
Pengguna Google;5;2026-01-20 06:53:25;"BAIK;";"baik;";BAIK;['BAIK'];['BAIK'];['BAIK'];['baik'];Positif
Aisyah Azzahra;4;2025-12-23 03:11:22;"sangat bagus;";"sangat bagus;";sangat bagus;['sangat', 'bagus'];['sangat', 'bagus'];['bagus'];['bagus'];Positif
Achi Inandra;5;2025-12-29 03:32:07;"sangat sangat membantu;";"sangat sangat membantu;";sangat sangat membantu;['sangat', 'sangat', 'membantu'];['sangat', 'sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;1;2026-01-12 22:28:39;"banyak bug menambah kesulitan untuk berobat.;";"banyak bug menambah kesulitan untuk berobat.;";banyak bug menambah kesulitan untuk berobat;['banyak', 'bug', 'menambah', 'kesulitan', 'untuk', 'berobat'];['banyak', 'bug', 'menambah', 'kesulitan', 'untuk', 'berobat'];['bug', 'menambah', 'kesulitan', 'berobat'];['bug', 'tambah', 'sulit', 'obat'];Netral
Pengguna Google;5;2026-01-10 06:13:40;"sangat puas;";"sangat puas;";sangat puas;['sangat', 'puas'];['sangat', 'puas'];['puas'];['puas'];Positif
Pengguna Google;5;2026-01-08 12:14:36;"sangat praktis dan memudahkan pelayanan;";"sangat praktis dan memudahkan pelayanan;";sangat praktis dan memudahkan pelayanan;['sangat', 'praktis', 'dan', 'memudahkan', 'pelayanan'];['sangat', 'praktis', 'dan', 'memudahkan', 'pelayanan'];['praktis', 'memudahkan', 'pelayanan'];['praktis', 'mudah', 'layan'];Positif
Pengguna Google;5;2026-01-11 06:41:04;"sangat mudah di gunakan;";"sangat mudah di gunakan;";sangat mudah di gunakan;['sangat', 'mudah', 'di', 'gunakan'];['sangat', 'mudah', 'di', 'gunakan'];['mudah'];['mudah'];Positif
Mulyadi Zakaria;5;2025-12-21 05:11:00;"sangat mudah dan membantu;";"sangat mudah dan membantu;";sangat mudah dan membantu;['sangat', 'mudah', 'dan', 'membantu'];['sangat', 'mudah', 'dan', 'membantu'];['mudah', 'membantu'];['mudah', 'bantu'];Positif
Pengguna Google;5;2025-12-31 04:53:35;"sangat memudahkan pasien dalam proses berobat;";"sangat memudahkan pasien dalam proses berobat;";sangat memudahkan pasien dalam proses berobat;['sangat', 'memudahkan', 'pasien', 'dalam', 'proses', 'berobat'];['sangat', 'memudahkan', 'pasien', 'dalam', 'proses', 'berobat'];['memudahkan', 'pasien', 'proses', 'berobat'];['mudah', 'pasien', 'proses', 'obat'];Positif
Pengguna Google;5;2026-01-05 06:37:32;"good;";"good;";good;['good'];['good'];['good'];['good'];Netral
Nanda tama 1;5;2025-12-23 11:53:58;"baik;";"baik;";baik;['baik'];['baik'];[];[];Positif
Angga Batoem;5;2025-12-28 07:59:54;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-07 23:48:32;"apk yg sanvat membantu akses kesehatan masyarakat;";"apk yg sanvat membantu akses kesehatan masyarakat;";apk yg sanvat membantu akses kesehatan masyarakat;['apk', 'yg', 'sanvat', 'membantu', 'akses', 'kesehatan', 'masyarakat'];['apk', 'yang', 'sanvat', 'membantu', 'akses', 'kesehatan', 'masyarakat'];['apk', 'sanvat', 'membantu', 'akses', 'kesehatan', 'masyarakat'];['apk', 'sanvat', 'bantu', 'akses', 'sehat', 'masyarakat'];Positif
Pengguna Google;5;2026-01-06 13:55:12;"mantaf semoga makin berkembang;";"mantaf semoga makin berkembang;";mantaf semoga makin berkembang;['mantaf', 'semoga', 'makin', 'berkembang'];['mantaf', 'semoga', 'makin', 'berkembang'];['mantaf', 'semoga', 'berkembang'];['mantaf', 'moga', 'kembang'];Netral
dewi lukitasari;5;2025-12-22 23:43:05;"membantu dalam daftar;";"membantu dalam daftar;";membantu dalam daftar;['membantu', 'dalam', 'daftar'];['membantu', 'dalam', 'daftar'];['membantu', 'daftar'];['bantu', 'daftar'];Positif
Pengguna Google;5;2026-01-20 11:29:16;"membantu;";"membantu;";membantu;['membantu'];['membantu'];['membantu'];['bantu'];Positif
Regita Gita;5;2025-12-27 04:56:01;"bermanfaat bngt ini Mjkn ... good lah pokonya;";"bermanfaat bngt ini mjkn ... good lah pokonya;";bermanfaat bngt ini Mjkn good lah pokonya;['bermanfaat', 'bngt', 'ini', 'Mjkn', 'good', 'lah', 'pokonya'];['bermanfaat', 'bngt', 'ini', 'Mjkn', 'good', 'lah', 'pokonya'];['bermanfaat', 'bngt', 'Mjkn', 'good', 'pokonya'];['manfaat', 'bngt', 'mjkn', 'good', 'poko'];Netral
MEYDIY Shymoun;5;2025-12-26 18:35:09;"sudah sangat oke;";"sudah sangat oke;";sudah sangat oke;['sudah', 'sangat', 'oke'];['sudah', 'sangat', 'oke'];['oke'];['oke'];Positif
pauziah setiawan;5;2025-12-23 23:04:44;"pelayanan sangat baik;";"pelayanan sangat baik;";pelayanan sangat baik;['pelayanan', 'sangat', 'baik'];['pelayanan', 'sangat', 'baik'];['pelayanan'];['layan'];Positif
Pengguna Google;5;2026-01-06 14:19:52;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;5;2026-01-20 14:24:18;"sangat membatu sekali;";"sangat membatu sekali;";sangat membatu sekali;['sangat', 'membatu', 'sekali'];['sangat', 'membatu', 'sekali'];['membatu'];['batu'];Netral
Pengguna Google;5;2026-01-04 15:08:15;"ok..banget;";"ok..banget;";ok banget;['ok', 'banget'];['oke', 'sangat'];['ok', 'banget'];['ok', 'banget'];Netral
Pengguna Google;5;2026-01-01 20:10:53;"pelayanan kesehatan the best;";"pelayanan kesehatan the best;";pelayanan kesehatan the best;['pelayanan', 'kesehatan', 'the', 'best'];['pelayanan', 'kesehatan', 'the', 'best'];['pelayanan', 'kesehatan', 'the', 'best'];['layan', 'sehat', 'the', 'best'];Netral
Pengguna Google;5;2026-01-19 02:48:10;"mantap;";"mantap;";mantap;['mantap'];['mantap'];['mantap'];['mantap'];Positif
Pengguna Google;1;2026-01-06 02:58:52;"tidak bisa menerima otp padahal sudah dicoba berkali kali. stress;";"tidak bisa menerima otp padahal sudah dicoba berkali kali. stress;";tidak bisa menerima otp padahal sudah dicoba berkali kali stress;['tidak', 'bisa', 'menerima', 'otp', 'padahal', 'sudah', 'dicoba', 'berkali', 'kali', 'stress'];['tidak', 'bisa', 'menerima', 'otp', 'padahal', 'sudah', 'dicoba', 'berkali', 'kali', 'stress'];['menerima', 'otp', 'dicoba', 'berkali', 'kali', 'stress'];['terima', 'otp', 'coba', 'kali', 'kali', 'stress'];Negatif
Pengguna Google;5;2026-01-24 02:59:33;"pelayanan sangat baik;";"pelayanan sangat baik;";pelayanan sangat baik;['pelayanan', 'sangat', 'baik'];['pelayanan', 'sangat', 'baik'];['pelayanan'];['layan'];Positif
Pengguna Google;5;2026-01-22 03:08:09;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Amy Chantika;4;2025-12-19 16:51:30;"Aplikasinya sgt berguna skali..;";"aplikasinya sgt berguna skali..;";Aplikasinya sgt berguna skali;['Aplikasinya', 'sgt', 'berguna', 'skali'];['Aplikasinya', 'sgt', 'berguna', 'skali'];['Aplikasinya', 'sgt', 'berguna', 'skali'];['aplikasi', 'sgt', 'guna', 'skali'];Netral
Pengguna Google;5;2026-01-13 01:44:30;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;5;2026-01-20 07:52:15;"aplikasi nya mudah dipakai' gampang dipahami;";"aplikasi nya mudah dipakai' gampang dipahami;";aplikasi nya mudah dipakai' gampang dipahami;"['aplikasi', 'nya', 'mudah', ""dipakai'"", 'gampang', 'dipahami']";"['aplikasi', 'nya', 'mudah', ""dipakai'"", 'gampang', 'dipahami']";"['aplikasi', 'nya', 'mudah', ""dipakai'"", 'gampang', 'dipahami']";['aplikasi', 'nya', 'mudah', 'pakai', 'gampang', 'paham'];Positif
Pengguna Google;5;2026-01-20 10:54:43;"JKN memang sangat bagus dalam luar biasa dalam pelayanan secara sistem digital sehingga mempermudah bagi peserta.;";"jkn memang sangat bagus dalam luar biasa dalam pelayanan secara sistem digital sehingga mempermudah bagi peserta.;";JKN memang sangat bagus dalam luar biasa dalam pelayanan secara sistem digital sehingga mempermudah bagi peserta;['JKN', 'memang', 'sangat', 'bagus', 'dalam', 'luar', 'biasa', 'dalam', 'pelayanan', 'secara', 'sistem', 'digital', 'sehingga', 'mempermudah', 'bagi', 'peserta'];['JKN', 'memang', 'sangat', 'bagus', 'dalam', 'luar', 'biasa', 'dalam', 'pelayanan', 'secara', 'sistem', 'digital', 'sehingga', 'mempermudah', 'bagi', 'peserta'];['JKN', 'bagus', 'pelayanan', 'sistem', 'digital', 'mempermudah', 'peserta'];['jkn', 'bagus', 'layan', 'sistem', 'digital', 'mudah', 'serta'];Positif
Pengguna Google;5;2026-01-06 12:23:47;"oke;";"oke;";oke;['oke'];['oke'];['oke'];['oke'];Positif
Patuh Effendi;5;2025-12-24 12:13:01;"Mantep banget aplikasi ini. Memudahkan kami. Terima kasih;";"mantep banget aplikasi ini. memudahkan kami. terima kasih;";Mantep banget aplikasi ini Memudahkan kami Terima kasih;['Mantep', 'banget', 'aplikasi', 'ini', 'Memudahkan', 'kami', 'Terima', 'kasih'];['Mantep', 'sangat', 'aplikasi', 'ini', 'Memudahkan', 'kami', 'Terima', 'kasih'];['Mantep', 'banget', 'aplikasi', 'Memudahkan', 'Terima', 'kasih'];['mantep', 'banget', 'aplikasi', 'mudah', 'terima', 'kasih'];Positif
Pengguna Google;5;2026-01-22 10:04:24;"Aplikasi Memudahkan Pengguna Untuk Mengakses;";"aplikasi memudahkan pengguna untuk mengakses;";Aplikasi Memudahkan Pengguna Untuk Mengakses;['Aplikasi', 'Memudahkan', 'Pengguna', 'Untuk', 'Mengakses'];['Aplikasi', 'Memudahkan', 'Pengguna', 'Untuk', 'Mengakses'];['Aplikasi', 'Memudahkan', 'Pengguna', 'Untuk', 'Mengakses'];['aplikasi', 'mudah', 'guna', 'untuk', 'akses'];Positif
cici anggun;1;2025-12-29 12:07:41;"Captcha error . nyusahin rakyat gk sih kaya gini ini..;";"captcha error . nyusahin rakyat gk sih kaya gini ini..;";Captcha error nyusahin rakyat gk sih kaya gini ini;['Captcha', 'error', 'nyusahin', 'rakyat', 'gk', 'sih', 'kaya', 'gini', 'ini'];['Captcha', 'error', 'nyusahin', 'rakyat', 'gk', 'sih', 'kaya', 'gini', 'ini'];['Captcha', 'error', 'nyusahin', 'rakyat', 'gk', 'sih', 'kaya', 'gini'];['captcha', 'error', 'nyusahin', 'rakyat', 'gk', 'sih', 'kaya', 'gin'];Negatif
Pengguna Google;5;2026-01-17 10:44:03;"sangat membantu dan cepat segala proses;";"sangat membantu dan cepat segala proses;";sangat membantu dan cepat segala proses;['sangat', 'membantu', 'dan', 'cepat', 'segala', 'proses'];['sangat', 'membantu', 'dan', 'cepat', 'segala', 'proses'];['membantu', 'cepat', 'proses'];['bantu', 'cepat', 'proses'];Positif
Pengguna Google;1;2026-01-12 03:38:10;"Mau log in susah banget asemmm..;";"mau log in susah banget asemmm..;";Mau log in susah banget asem;['Mau', 'log', 'in', 'susah', 'banget', 'asem'];['Mau', 'log', 'in', 'susah', 'sangat', 'asem'];['Mau', 'log', 'in', 'susah', 'banget', 'asem'];['mau', 'log', 'in', 'susah', 'banget', 'asem'];Negatif
